Year,World,Australasia,Indian Ocean,Pacific
1980,5,3,0,0
1981,2,1,0,0
1982,1,0,0,0
1983,22,4,4,6
1984,2,1,0,1
1985,1,0,0,0
1986,4,2,0,1
1987,26,2,4,4
1988,11,2,0,1
1989,4,0,0,0
1990,11,0,0,0
1991,8,1,0,3
1992,7,1,0,3
1993,5,1,0,0
1994,8,1,0,5
1995,18,2,0,2
1996,9,0,2,5
1997,14,2,0,2
1998,73,20,21,12
1999,10,2,0,1
2000,13,4,1,3
2001,12,3,3,4
2002,21,5,6,7
2003,23,1,7,4
2004,19,3,6,5
2005,40,6,11,3
2006,18,3,0,8
2007,16,4,4,2
2008,10,5,0,0
2009,14,3,2,3
2010,53,18,14,4
2011,14,5,5,1
2012,7,3,1,1
2013,8,2,1,2
2014,14,4,2,5
2015,30,3,6,10
2016,54,27,19,7