Year,Atlantic Ocean,Southern Ocean,World
2000 Q1,-2.71,21.77,-2.82
2000 Q2,-11.25,9.2,-7.36
2000 Q3,-4.74,-15.86,-2.13
2000 Q4,9.41,-5.07,7.38
2001 Q1,1.09,22.6,0.03
2001 Q2,-15.79,16.87,-2.19
2001 Q3,2.92,-5.79,6.77
2001 Q4,19.39,4.42,10.22
2002 Q1,4.72,29.37,3.19
2002 Q2,-11.91,14.48,0.8
2002 Q3,10.37,-9.43,10.08
2002 Q4,17.01,-1.86,16.35
2003 Q1,9.48,28.29,9.84
2003 Q2,6.71,22.11,6.93
2003 Q3,18.86,-8.07,11.38
2003 Q4,33.96,1.39,18.58
2004 Q1,12.75,27.61,9.51
2004 Q2,-1.02,21.11,9.52
2004 Q3,16.64,5.48,13.04
2004 Q4,32.63,9.31,19.52
2005 Q1,15.49,35.18,11.29
2005 Q2,11.29,28.85,9.9
2005 Q3,19.18,-1.58,15.41
2005 Q4,31.13,8.01,24.97
2006 Q1,9.37,33.63,14.62
2006 Q2,11.11,22.35,13.86
2006 Q3,28.28,4.92,20.49
2006 Q4,35.91,13.72,25.68
2007 Q1,14.77,40.29,14.99
2007 Q2,8.94,27.63,14.12
2007 Q3,20.48,2.28,17.39
2007 Q4,30.56,14.56,25.46
2008 Q1,12.61,45.36,18.5
2008 Q2,13.95,32.51,17.55
2008 Q3,17.9,6.75,22.76
2008 Q4,36.9,14.69,29.53
2009 Q1,18.32,43.36,21.94
2009 Q2,18.17,30.3,20.24
2009 Q3,26.88,3.33,26.82
2009 Q4,42.64,20.23,34.1
2010 Q1,19.27,42.67,24.83
2010 Q2,19.9,36.65,23.74
2010 Q3,35.37,18.42,28.24
2010 Q4,36,22.92,31.63
2011 Q1,21.84,48.84,21.39
2011 Q2,18.45,35.89,19.2
2011 Q3,26.38,14.48,26.92
2011 Q4,43.72,21.25,34.63
2012 Q1,24.68,51.85,30.26
2012 Q2,23.95,43.49,30.26
2012 Q3,39.88,24.61,38.39
2012 Q4,47.86,32.42,44.33
2013 Q1,35.63,62.14,37.71
2013 Q2,27.4,49.97,33.1
2013 Q3,41.01,22.25,36.93
2013 Q4,54.25,35.3,43.85
2014 Q1,28.52,66.24,37.47
2014 Q2,26.25,44.9,34.74
2014 Q3,43.58,26.64,43.06
2014 Q4,55.74,37.7,49.16
2015 Q1,38.02,66.1,44.86
2015 Q2,33.98,57.53,43.51
2015 Q3,54.78,43.62,52.57
2015 Q4,61.21,45.88,59.35
2016 Q1,43.4,79.05,51.26
2016 Q2,40.03,61.36,48.14
2016 Q3,54.91,35.11,52.69
2016 Q4,63.27,43.44,59.6
2017 Q1,47,74.16,50.61
2017 Q2,49.76,69.02,48.29
2017 Q3,65.82,45.42,55.54
2017 Q4,73.07,56.25,64.12
2018 Q1,63.2,83.55,54.39
2018 Q2,47.71,64.69,50.58
2018 Q3,63.88,40.56,57.99
2018 Q4,76.83,53.73,66.74
2019 Q1,63.88,84.49,59.8
2019 Q2,60.59,71.42,57.79
2019 Q3,70.29,51.4,65.65
2019 Q4,89.48,57.45,71.4
2020 Q1,68.9,84.12,61.86
2020 Q2,54.89,67.6,61.17
2020 Q3,71.9,50.51,67.6
2020 Q4,84.42,63.66,75.86
2021 Q1,69.64,91.8,67.8
2021 Q2,63.82,75.19,66.12
2021 Q3,75.61,54.05,73.52
2021 Q4,100.26,67.53,80.48
2022 Q1,71.05,94.8,71.34
2022 Q2,60.38,77.61,67.45
2022 Q3,77.89,61.57,74.74
2022 Q4,94.76,64.19,83.36